2022-05-04 10:00:25 status unpacked libbsd0:amd64 0.11.3-1
2022-05-04 10:00:25 status half-configured libbsd0:amd64 0.11.3-1
2022-05-04 10:00:25 status installed libbsd0:amd64 0.11.3-1
2022-05-04 10:00:25 configure libelf1:amd64 0.183-1 <none>
2022-05-04 10:00:25 status unpacked libelf1:amd64 0.183-1
2022-05-04 10:00:25 status half-configured libelf1:amd64 0.183-1
2022-05-04 10:00:25 status installed libelf1:amd64 0.183-1
2022-05-04 10:00:25 configure libprocps8:amd64 2:3.3.17-5 <none>
2022-05-04 10:00:25 status unpacked libprocps8:amd64 2:3.3.17-5
2022-05-04 10:00:25 status half-configured libprocps8:amd64 2:3.3.17-5
2022-05-04 10:00:25 status installed libprocps8:amd64 2:3.3.17-5
2022-05-04 10:00:25 configure libgdbm6:amd64 1.19-2 <none>
2022-05-04 10:00:25 status unpacked libgdbm6:amd64 1.19-2
2022-05-04 10:00:25 status half-configured libgdbm6:amd64 1.19-2
2022-05-04 10:00:25 status installed libgdbm6:amd64 1.19-2
2022-05-04 10:00:25 configure fuse:amd64 2.9.9-5 <none>
2022-05-04 10:00:25 status unpacked fuse:amd64 2.9.9-5
2022-05-04 10:00:25 status half-configured fuse:amd64 2.9.9-5
2022-05-04 10:00:25 status installed fuse:amd64 2.9.9-5
2022-05-04 10:00:25 configure libedit2:amd64 3.1-20191231-2+b1 <none>
2022-05-04 10:00:25 status unpacked libedit2:amd64 3.1-20191231-2+b1
2022-05-04 10:00:25 status half-configured libedit2:amd64 3.1-20191231-2+b1
2022-05-04 10:00:25 status installed libedit2:amd64 3.1-20191231-2+b1
2022-05-04 10:00:25 configure libldap-2.4-2:amd64 2.4.57+dfsg-3 <none>
2022-05-04 10:00:25 status unpacked libldap-2.4-2:amd64 2.4.57+dfsg-3
2022-05-04 10:00:25 status half-configured libldap-2.4-2:amd64 2.4.57+dfsg-3
2022-05-04 10:00:25 status installed libldap-2.4-2:amd64 2.4.57+dfsg-3
2022-05-04 10:00:25 configure libnftnl11:amd64 1.1.9-1 <none>
2022-05-04 10:00:25 status unpacked libnftnl11:amd64 1.1.9-1
2022-05-04 10:00:25 status half-configured libnftnl11:amd64 1.1.9-1
2022-05-04 10:00:25 status installed libnftnl11:amd64 1.1.9-1
2022-05-04 10:00:25 configure libcurl3-gnutls:amd64 7.74.0-1.3+deb11u1 <none>
2022-05-04 10:00:25 status unpacked libcurl3-gnutls:amd64 7.74.0-1.3+deb11u1
2022-05-04 10:00:25 status half-configured libcurl3-gnutls:amd64 7.74.0-1.3+deb11u1
2022-05-04 10:00:25 status installed libcurl3-gnutls:amd64 7.74.0-1.3+deb11u1
2022-05-04 10:00:25 configure rpcbind:amd64 1.2.5-9 <none>
2022-05-04 10:00:25 status unpacked rpcbind:amd64 1.2.5-9
2022-05-04 10:00:25 status half-configured rpcbind:amd64 1.2.5-9
2022-05-04 10:00:25 status installed rpcbind:amd64 1.2.5-9
2022-05-04 10:00:25 configure ca-certificates:all 20210119 <none>
2022-05-04 10:00:25 status unpacked ca-certificates:all 20210119
2022-05-04 10:00:25 status half-configured ca-certificates:all 20210119
2022-05-04 10:00:26 status installed ca-certificates:all 20210119
2022-05-04 10:00:26 status triggers-pending ca-certificates:all 20210119
2022-05-04 10:00:26 configure libgdbm-compat4:amd64 1.19-2 <none>
2022-05-04 10:00:26 status unpacked libgdbm-compat4:amd64 1.19-2
2022-05-04 10:00:26 status half-configured libgdbm-compat4:amd64 1.19-2
2022-05-04 10:00:26 status installed libgdbm-compat4:amd64 1.19-2
2022-05-04 10:00:26 configure ucf:all 3.0043 <none>
2022-05-04 10:00:26 status unpacked ucf:all 3.0043
2022-05-04 10:00:26 status half-configured ucf:all 3.0043
2022-05-04 10:00:26 status installed ucf:all 3.0043
2022-05-04 10:00:26 configure libperl5.32:amd64 5.32.1-4+deb11u2 <none>
2022-05-04 10:00:26 status unpacked libperl5.32:amd64 5.32.1-4+deb11u2
2022-05-04 10:00:26 status half-configured libperl5.32:amd64 5.32.1-4+deb11u2
2022-05-04 10:00:26 status installed libperl5.32:amd64 5.32.1-4+deb11u2
